стихотворение,тема,ритм,рифма,текст,кластеры
Красавицы, для вас одних
Времен минувших небылицы,
В часы досугов золотых,
Под шепот старины болтливой,
Рукою верной я писал;
Примите ж вы мой труд игривый!
Ничьих не требуя похвал,
Счастлив уж я надеждой сладкой,
Что дева с трепетом любви
Посмотрит, может быть, украдкой
На песни грешные мои.Песнь перваяУ лукоморья дуб зеленый,
Златая цепь на дубе том:
И днем и ночью кот ученый
Всё ходит по цепи кругом;
Идет направо — песнь заводит,
Налево — сказку говорит.Там чудеса: там леший бродит,
Русалка на ветвях сидит;
Там на неведомых дорожках
Следы невиданных зверей;
Избушка там на курьих ножках
Стоит без окон, без дверей;
Там лес и дол видений полны;
Там о заре прихлынут волны
На брег песчаный и пустой,
И тридцать витязей прекрасных;
Чредой из вод выходят ясных,
И с ними дядька их морской;
Там королевич мимоходом
Пленяет грозного царя;
Там в облаках перед народом
Через леса, через моря
Колдун несет богатыря;
В темнице там царевна тужит,
А бурый волк ей верно служит;
Там ступа с Бабою Ягой
Идет, бредет сама собой;
Там царь Кащей над златом чахнет;
Там русский дух… там Русью пахнет!
И там я был, и мед я пил;
У моря видел дуб зеленый;
Под ним сидел, и кот ученый
Свои мне сказки говорил.
Одну я помню: сказку эту
Поведаю теперь я свету…Дела давно минувших дней,
Преданья старины глубокой.В толпе могучих сыновей,
С друзьями, в гриднице высокой
Владимир-солнце пировал;
Меньшую дочь он выдавал
За князя храброго Руслана
И мед из тяжкого стакана
За их здоровье выпивал.
Не скоро ели предки наши,
Не скоро двигались кругом
Ковши, серебряные чаши
С кипящим пивом и вином.
Они веселье в сердце лили,
Шипела пена по краям,
Их важно чашники носили
И низко кланялись гостям.Слилися речи в шум невнятный;
Жужжит гостей веселый круг;
Но вдруг раздался глас приятный
И звонких гуслей беглый звук;
Все смолкли, слушают Баяна:
И славит сладостный певец
Людмилу-прелесть, и Руслана,
И Лелем свитый им венец.Но, страстью пылкой утомленный,
Не ест, не пьет Руслан влюбленный;
На друга милого глядит,
Вздыхает, сердится, горит
И, щипля ус от нетерпенья,
Считает каждые мгновенья.
В уныньи, с пасмурным челом,
За шумным, свадебным столом
Сидят три витязя младые;
Безмолвны, за ковшом пустым,
Забыли кубки круговые,
И брашна неприятны им;
Не слышат вещего Баяна;
Потупили смущенный взгляд:
То три соперника Руслана;
В душе несчастные таят
Любви и ненависти яд.
Один — Рогдай, воитель смелый,
Мечом раздвинувший пределы
Богатых киевских полей;
Другой — Фарлаф, крикун надменный,
В пирах никем не побежденный,
Но воин скромный средь мечей;
Последний, полный страстной думы,
Младой хазарский хан Ратмир:
Все трое бледны и угрюмы,
И пир веселый им не в пир.Вот кончен он; встают рядами,
Смешались шумными толпами,
И все глядят на молодых:
Невеста очи опустила,
Как будто сердцем приуныла,
И светел радостный жених.
Но тень объемлет всю природу,
Уж близко к полночи глухой;
Бояре, задремав от меду,
С поклоном убрались домой.
Жених в восторге, в упоенье:
Ласкает он в воображенье
Стыдливой девы красоту;
Но с тайным, грустным умиленьем
Великий князь благословеньем
Дарует юную чету.И вот невесту молодую
Ведут на брачную постель;
Огни погасли… и ночную
Лампаду зажигает Лель.
Свершились милые надежды,
Любви готовятся дары;
Падут ревнивые одежды
На цареградские ковры…
Вы слышите ль влюбленный шепот,
И поцелуев сладкий звук,
И прерывающийся ропот
Последней робости?.. Супруг
Восторги чувствует заране;
И вот они настали… Вдруг
Гром грянул, свет блеснул в тумане,
Лампада гаснет, дым бежит,
Кругом всё смерклось, всё дрожит,
И замерла душа в Руслане…
Всё смолкло. В грозной тишине
Раздался дважды голос странный,
И кто-то в дымной глубине
Взвился чернее мглы туманной…
И снова терем пуст и тих;
Встает испуганный жених,
С лица катится пот остылый;
Трепеща, хладною рукой
Он вопрошает мрак немой…
О горе: нет подруги милой!
Хватает воздух он пустой;
Людмилы нет во тьме густой,
Похищена безвестной силой.Ах, если мученик любви
Страдает страстью безнадежно;
Хоть грустно жить, друзья мои,
Однако жить еще возможно.
Но после долгих, долгих лет
Обнять влюбленную подругу,
Желаний, слез, тоски предмет,
И вдруг минутную супругу
Навек утратить… о друзья,
Конечно лучше б умер я!Однако жив Руслан несчастный.
Но что сказал великий князь?
Сраженный вдруг молвой ужасной,
На зятя гневом распалясь,
Его и двор он созывает:
«Где, где Людмила?» — вопрошает
С ужасным, пламенным челом.
Руслан не слышит. «Дети, други!
Я помню прежние заслуги:
О, сжальтесь вы над стариком!
Скажите, кто из вас согласен
Скакать за дочерью моей?
Чей подвиг будет не напрасен,
Тому — терзайся, плачь, злодей!
Не мог сберечь жены своей! —
Тому я дам ее в супруги
С полцарством прадедов моих.
Кто ж вызовется, дети, други?..»
«Я!» — молвил горестный жених.
«Я! я!» — воскликнули с Рогдаем
Фарлаф и радостный Ратмир:
«Сейчас коней своих седлаем;
Мы рады весь изъездить мир.
Отец наш, не продлим разлуки;
Не бойся: едем за княжной».
И с благодарностью немой
В слезах к ним простирает руки
Старик, измученный тоской.Все четверо выходят вместе;
Руслан уныньем как убит;
Мысль о потерянной невесте
Его терзает и мертвит.
Садятся на коней ретивых;
Вдоль берегов Днепра счастливых
Летят в клубящейся пыли;
Уже скрываются вдали;
Уж всадников не видно боле…
Но долго всё еще глядит
Великий князь в пустое поле
И думой им вослед летит.Руслан томился молчаливо,
И смысл и память потеряв.
Через плечо глядя спесиво
И важно подбочась, Фарлаф,
Надувшись, ехал за Русланом.
Он говорит: «Насилу я
На волю вырвался, друзья!
Ну, скоро ль встречусь с великаном?
Уж то-то крови будет течь,
Уж то-то жертв любви ревнивой!
Повеселись, мой верный меч,
Повеселись, мой конь ретивый!»Хазарский хан, в уме своем
Уже Людмилу обнимая,
Едва не пляшет над седлом;
В нем кровь играет молодая,
Огня надежды полон взор:
То скачет он во весь опор,
То дразнит бегуна лихого,
Кружит, подъемлет на дыбы
Иль дерзко мчит на холмы снова.Рогдай угрюм, молчит — ни слова…
Страшась неведомой судьбы
И мучась ревностью напрасной,
Всех больше беспокоен он,
И часто взор его ужасный
На князя мрачно устремлен.Соперники одной дорогой
Все вместе едут целый день.
Днепра стал темен брег отлогий;
С востока льется ночи тень;
Туманы над Днепром глубоким;
Пора коням их отдохнуть.
Вот под горой путем широким
Широкий пересекся путь.
«Разъедемся, пора! — сказали, —
Безвестной вверимся судьбе».
И каждый конь, не чуя стали,
По воле путь избрал себе.Что делаешь, Руслан несчастный,
Один в пустынной тишине?
Людмилу, свадьбы день ужасный,
Всё, мнится, видел ты во сне.
На брови медный шлем надвинув,
Из мощных рук узду покинув,
Ты шагом едешь меж полей,
И медленно в душе твоей
Надежда гибнет, гаснет вера.Но вдруг пред витязем пещера;
В пещере свет. Он прямо к ней
Идет под дремлющие своды,
Ровесники самой природы.
Вошел с уныньем: что же зрит?
В пещере старец; ясный вид,
Спокойный взор, брада седая;
Лампада перед ним горит;
За древней книгой он сидит,
Ее внимательно читая.
«Добро пожаловать, мой сын! —
Сказал с улыбкой он Руслану. —
Уж двадцать лет я здесь один
Во мраке старой жизни вяну;
Но наконец дождался дня,
Давно предвиденного мною.
Мы вместе сведены судьбою;
Садись и выслушай меня.
Руслан, лишился ты Людмилы;
Твой твердый дух теряет силы;
Но зла промчится быстрый миг:
На время рок тебя постиг.
С надеждой, верою веселой
Иди на всё, не унывай;
Вперед! мечом и грудью смелой
Свой путь на полночь пробивай.Узнай, Руслан: твой оскорбитель
Волшебник страшный Черномор,
Красавиц давний похититель,
Полнощных обладатель гор.
Еще ничей в его обитель
Не проникал доныне взор;
Но ты, злых козней истребитель,
В нее ты вступишь, и злодей
Погибнет от руки твоей.
Тебе сказать не должен боле:
Судьба твоих грядущих дней,
Мой сын, в твоей отныне воле».Наш витязь старцу пал к ногам
И в радости лобзает руку.
Светлеет мир его очам,
И сердце позабыло муку.
Вновь ожил он; и вдруг опять
На вспыхнувшем лице кручина…
«Ясна тоски твоей причина;
Но грусть не трудно разогнать, —
Сказал старик, — тебе ужасна
Любовь седого колдуна;
Спокойся, знай: она напрасна
И юной деве не страшна.
Он звезды сводит с небосклона,
Он свистнет — задрожит луна;
Но против времени закона
Его наука не сильна.
Ревнивый, трепетный хранитель
Замков безжалостных дверей,
Он только немощный мучитель
Прелестной пленницы своей.
Вокруг нее он молча бродит,
Клянет жестокий жребий свой…
Но, добрый витязь, день проходит,
А нужен для тебя покой».Руслан на мягкий мох ложится
Пред умирающим огнем;
Он ищет позабыться сном,
Вздыхает, медленно вертится…
Напрасно! Витязь наконец:
«Не спится что-то, мой отец!
Что делать: болен я душою,
И сон не в сон, как тошно жить.
Позволь мне сердце освежить
Твоей беседою святою.
Прости мне дерзостный вопрос.
Откройся: кто ты, благодатный,
Судьбы наперсник непонятный?
В пустыню кто тебя занес?»Вздохнув с улыбкою печальной,
Старик в ответ: «Любезный сын,
Уж я забыл отчизны дальной
Угрюмый край. Природный финн,
В долинах, нам одним известных,
Гоняя стадо сел окрестных,
В беспечной юности я знал
Одни дремучие дубравы,
Ручьи, пещеры наших скал
Да дикой бедности забавы.
Но жить в отрадной тишине
Дано не долго было мне.Тогда близ нашего селенья,
Как милый цвет уединенья,
Жила Наина. Меж подруг
Она гремела красотою.
Однажды утренней порою
Свои стада на темный луг
Я гнал, волынку надувая;
Передо мной шумел поток.
Одна, красавица младая
На берегу плела венок.
Меня влекла моя судьбина…
Ах, витязь, то была Наина!
Я к ней — и пламень роковой
За дерзкий взор мне был наградой,
И я любовь узнал душой
С ее небесною отрадой,
С ее мучительной тоской.Умчалась года половина;
Я с трепетом открылся ей,
Сказал: люблю тебя, Наина.
Но робкой горести моей
Наина с гордостью внимала,
Лишь прелести свои любя,
И равнодушно отвечала:
«Пастух, я не люблю тебя!»И всё мне дико, мрачно стало:
Родная куща, тень дубров,
Веселы игры пастухов —
Ничто тоски не утешало.
В уныньи сердце сохло, вяло.
И наконец задумал я
Оставить финские поля;
Морей неверные пучины
С дружиной братской переплыть
И бранной славой заслужить
Вниманье гордое Наины.
Я вызвал смелых рыбаков
Искать опасностей и злата.
Впервые тихий край отцов
Услышал бранный звук булата
И шум немирных челноков.
Я вдаль уплыл, надежды полный,
С толпой бесстрашных земляков;
Мы десять лет снега и волны
Багрили кровию врагов.
Молва неслась: цари чужбины
Страшились дерзости моей;
Их горделивые дружины
Бежали северных мечей.
Мы весело, мы грозно бились,
Делили дани и дары,
И с побежденными садились
За дружелюбные пиры.
Но сердце, полное Наиной,
Под шумом битвы и пиров,
Томилось тайною кручиной,
Искало финских берегов.
Пора домой, сказал я, други!
Повесим праздные кольчуги
Под сенью хижины родной.
Сказал — и весла зашумели;
И, страх оставя за собой,
В залив отчизны дорогой
Мы с гордой радостью влетели.Сбылись давнишние мечты,
Сбылися пылкие желанья!
Минута сладкого свиданья,
И для меня блеснула ты!
К ногам красавицы надменной
Принес я меч окровавленный,
Кораллы, злато и жемчуг;
Пред нею, страстью упоенный,
Безмолвным роем окруженный
Ее завистливых подруг,
Стоял я пленником послушным;
Но дева скрылась от меня,
Примолвя с видом равнодушным:
«Герой, я не люблю тебя!»К чему рассказывать, мой сын,
Чего пересказать нет силы?
Ах, и теперь один, один,
Душой уснув, в дверях могилы,
Я помню горесть, и порой,
Как о минувшем мысль родится,
По бороде моей седой
Слеза тяжелая катится.Но слушай: в родине моей
Между пустынных рыбарей
Наука дивная таится.
Под кровом вечной тишины,
Среди лесов, в глуши далекой
Живут седые колдуны;
К предметам мудрости высокой
Все мысли их устремлены;
Всё слышит голос их ужасный,
Что было и что будет вновь,
И грозной воле их подвластны
И гроб и самая любовь.И я, любви искатель жадный,
Решился в грусти безотрадной
Наину чарами привлечь
И в гордом сердце девы хладной
Любовь волшебствами зажечь.
Спешил в объятия свободы,
В уединенный мрак лесов;
И там, в ученьи колдунов,
Провел невидимые годы.
Настал давно желанный миг,
И тайну страшную природы
Я светлой мыслию постиг:
Узнал я силу заклинаньям.
Венец любви, венец желаньям!
Теперь, Наина, ты моя!
Победа наша, думал я.
Но в самом деле победитель
Был рок, упорный мой гонитель.В мечтах надежды молодой,
В восторге пылкого желанья,
Творю поспешно заклинанья,
Зову духов — и в тьме лесной
Стрела промчалась громовая,
Волшебный вихорь поднял вой,
Земля вздрогнула под ногой…
И вдруг сидит передо мной
Старушка дряхлая, седая,
Глазами впалыми сверкая,
С горбом, с трясучей головой,
Печальной ветхости картина.
Ах, витязь, то была Наина!..
Я ужаснулся и молчал,
Глазами страшный призрак мерил,
В сомненье всё еще не верил
И вдруг заплакал, закричал:
«Возможно ль! ах, Наина, ты ли!
Наина, где твоя краса?
Скажи, ужели небеса
Тебя так страшно изменили?
Скажи, давно ль, оставя свет,
Расстался я с душой и с милой?
Давно ли?..» «Ровно сорок лет, —
Был девы роковой ответ, —
Сегодня семьдесят мне било.
Что делать, — мне пищит она, —
Толпою годы пролетели.
Прошла моя, твоя весна —
Мы оба постареть успели.
Но, друг, послушай: не беда
Неверной младости утрата.
Конечно, я теперь седа,
Немножко, может быть, горбата;
Не то, что в старину была,
Не так жива, не так мила;
Зато (прибавила болтунья)
Открою тайну: я колдунья!»И было в самом деле так.
Немой, недвижный перед нею,
Я совершенный был дурак
Со всей премудростью моею.Но вот ужасно: колдовство
Вполне свершилось по несчастью.
Мое седое божество
Ко мне пылало новой страстью.
Скривив улыбкой страшный рот,
Могильным голосом урод
Бормочет мне любви признанье.
Вообрази мое страданье!
Я трепетал, потупя взор;
Она сквозь кашель продолжала
Тяжелый, страстный разговор:
«Так, сердце я теперь узнала;
Я вижу, верный друг, оно
Для нежной страсти рождено;
Проснулись чувства, я сгораю,
Томлюсь желаньями любви…
Приди в объятия мои…
О милый, милый! умираю…»И между тем она, Руслан,
Мигала томными глазами;
И между тем за мой кафтан
Держалась тощими руками;
И между тем — я обмирал,
От ужаса зажмуря очи;
И вдруг терпеть не стало мочи;
Я с криком вырвался, бежал.
Она вослед: «О, недостойный!
Ты возмутил мой век спокойный,
Невинной девы ясны дни!
Добился ты любви Наины,
И презираешь — вот мужчины!
Изменой дышат все они!
Увы, сама себя вини;
Он обольстил меня, несчастный!
Я отдалась любови страстной…
Изменник, изверг! о позор!
Но трепещи, девичий вор!»Так мы расстались. С этих пор
Живу в моем уединенье
С разочарованной душой;
И в мире старцу утешенье
Природа, мудрость и покой.
Уже зовет меня могила;
Но чувства прежние свои
Еще старушка не забыла
И пламя поздное любви
С досады в злобу превратила.
Душою черной зло любя,
Колдунья старая, конечно,
Возненавидит и тебя;
Но горе на земле не вечно».Наш витязь с жадностью внимал
Рассказы старца; ясны очи
Дремотой легкой не смыкал
И тихого полета ночи
В глубокой думе не слыхал.
Но день блистает лучезарный…
Со вздохом витязь благодарный
Объемлет старца-колдуна;
Душа надеждою полна;
Выходит вон. Ногами стиснул
Руслан заржавшего коня,
В седле оправился, присвистнул.
«Отец мой, не оставь меня».
И скачет по пустому лугу.
Седой мудрец младому другу
Кричит вослед: «Счастливый путь!
Прости, люби свою супругу,
Советов старца не забудь!»Песнь втораяСоперники в искусстве брани,
Не знайте мира меж собой;
Несите мрачной славе дани,
И упивайтеся враждой!
Пусть мир пред вами цепенеет,
Дивяся грозным торжествам:
Никто о вас не пожалеет,
Никто не помешает вам.
Соперники другого рода,
Вы, рыцари парнасских гор,
Старайтесь не смешить народа
Нескромным шумом ваших ссор;
Бранитесь — только осторожно.
Но вы, соперники в любви,
Живите дружно, если можно!
Поверьте мне, друзья мои:
Кому судьбою непременной
Девичье сердце суждено,
Тот будет мил на зло вселенной;
Сердиться глупо и грешно.Когда Рогдай неукротимый,
Глухим предчувствием томимый,
Оставя спутников своих,
Пустился в край уединенный
И ехал меж пустынь лесных,
В глубоку думу погруженный —
Злой дух тревожил и смущал
Его тоскующую душу,
И витязь пасмурный шептал:
«Убью!.. преграды все разрушу…
Руслан!.. узнаешь ты меня…
Теперь-то девица поплачет…»
И вдруг, поворотив коня,
Во весь опор назад он скачет.В то время доблестный Фарлаф,
Всё утро сладко продремав,
Укрывшись от лучей полдневных,
У ручейка, наедине,
Для подкрепленья сил душевных,
Обедал в мирной тишине.
Как вдруг он видит: кто-то в поле,
Как буря, мчится на коне;
И, времени не тратя боле,
Фарлаф, покинув свой обед,
Копье, кольчугу, шлем, перчатки,
Вскочил в седло и без оглядки
Летит — а тот за ним вослед.
«Остановись, беглец бесчестный! —
Кричит Фарлафу неизвестный. —
Презренный, дай себя догнать!
Дай голову с тебя сорвать!»
Фарлаф, узнавши глас Рогдая,
Со страха скорчась, обмирал
И, верной смерти ожидая,
Коня еще быстрее гнал.
Так точно заяц торопливый,
Прижавши уши боязливо,
По кочкам, полем, сквозь леса
Скачками мчится ото пса.
На месте славного побега
Весной растопленного снега
Потоки мутные текли
И рыли влажну грудь земли.
Ко рву примчался конь ретивый,
Взмахнул хвостом и белой гривой,
Бразды стальные закусил
И через ров перескочил;
Но робкий всадник вверх ногами
Свалился тяжко в грязный ров,
Земли не взвидел с небесами
И смерть принять уж был готов.
Рогдай к оврагу подлетает;
Жестокий меч уж занесен;
«Погибни, трус! умри!» — вещает…
Вдруг узнает Фарлафа он;
Глядит, и руки опустились;
Досада, изумленье, гнев
В его чертах изобразились;
Скрыпя зубами, онемев,
Герой, с поникшею главою
Скорей отъехав ото рва,
Бесился… но едва, едва
Сам не смеялся над собою.Тогда он встретил под горой
Старушечку чуть-чуть живую,
Горбатую, совсем седую.
Она дорожною клюкой
Ему на север указала.
«Ты там найдешь его», — сказала.
Рогдай весельем закипел
И к верной смерти полетел.А наш Фарлаф? Во рву остался,
Дохнуть не смея; про себя
Он, лежа, думал: жив ли я?
Куда соперник злой девался?
Вдруг слышит прямо над собой
Старухи голос гробовой:
«Встань, молодец: все тихо в поле;
Ты никого не встретишь боле;
Я привела тебе коня;
Вставай, послушайся меня».Смущенный витязь поневоле
Ползком оставил грязный ров;
Окрестность робко озирая,
Вздохнул и молвил оживая:
«Ну, слава богу, я здоров!»«Поверь! — старуха продолжала, —
Людмилу мудрено сыскать;
Она далеко забежала;
Не нам с тобой ее достать.
Опасно разъезжать по свету;
Ты, право, будешь сам не рад.
Последуй моему совету,
Ступай тихохонько назад.
Под Киевом, в уединенье,
В своем наследственном селенье
Останься лучше без забот:
От нас Людмила не уйдет».Сказав, исчезла. В нетерпенье
Благоразумный наш герой
Тотчас отправился домой,
Сердечно позабыв о славе
И даже о княжне младой;
И шум малейший по дубраве,
Полет синицы, ропот вод
Его бросали в жар и в пот.Меж тем Руслан далеко мчится;
В глуши лесов, в глуши полей
Привычной думою стремится
К Людмиле, радости своей,
И говорит: «Найду ли друга?
Где ты, души моей супруга?
Увижу ль я твой светлый взор?
Услышу ль нежный разговор?
Иль суждено, чтоб чародея
Ты вечной пленницей была
И, скорбной девою старея,
В темнице мрачной отцвела?
Или соперник дерзновенный
Придет?.. Нет, нет, мой друг бесценный:
Еще при мне мой верный меч,
Еще глава не пала с плеч».Однажды, темною порою,
По камням берегом крутым
Наш витязь ехал над рекою.
Всё утихало. Вдруг за ним
Стрелы мгновенное жужжанье,
Кольчуги звон, и крик, и ржанье,
И топот по полю глухой.
«Стой!» — грянул голос громовой.
Он оглянулся: в поле чистом,
Подняв копье, летит со свистом
Свирепый всадник, и грозой
Помчался князь ему навстречу.
«Ага! догнал тебя! постой! —
Кричит наездник удалой, —
Готовься, друг, на смертну сечу;
Теперь ложись средь здешних мест;
А там ищи своих невест».
Руслан вспылал, вздрогнул от гнева;
Он узнает сей буйный глас…Друзья мои! а наша дева?
Оставим витязей на час;
О них опять я вспомню вскоре.
А то давно пора бы мне
Подумать о младой княжне
И об ужасном Черноморе.Моей причудливой мечты
Наперсник иногда нескромный,
Я рассказал, как ночью темной
Людмилы нежной красоты
От воспаленного Руслана
Сокрылись вдруг среди тумана.
Несчастная! когда злодей,
Рукою мощною своей
Тебя сорвав с постели брачной,
Взвился, как вихорь, к облакам
Сквозь тяжкий дым и воздух мрачный
И вдруг умчал к своим горам —
Ты чувств и памяти лишилась
И в страшном замке колдуна,
Безмолвна, трепетна, бледна,
В одно мгновенье очутилась.С порога хижины моей
Так видел я, средь летних дней,
Когда за курицей трусливой
Султан курятника спесивый,
Петух мой по двору бежал
И сладострастными крылами
Уже подругу обнимал;
Над ними хитрыми кругами
Цыплят селенья старый вор,
Прияв губительные меры,
Носился, плавал коршун серый
И пал как молния на двор.
Взвился, летит. В когтях ужасных
Во тьму расселин безопасных
Уносит бедную злодей.
Напрасно, горестью своей
И хладным страхом пораженный,
Зовет любовницу петух. .
Он видит лишь летучий пух,
Летучим ветром занесенный.До утра юная княжна
Лежала, тягостным забвеньем,
Как будто страшным сновиденьем,
Объята — наконец она
Очнулась, пламенным волненьем
И смутным ужасом полна;
Душой летит за наслажденьем,
Кого-то ищет с упоеньем;
«Где ж милый, — шепчет, — где супруг?»
Зовет и помертвела вдруг.
Глядит с боязнию вокруг.
Людмила, где твоя светлица?
Лежит несчастная девица
Среди подушек пуховых,
Под гордой сенью балдахина;
Завесы, пышная перина
В кистях, в узорах дорогих;
Повсюду ткани парчевые;
Играют яхонты, как жар;
Кругом курильницы златые
Подъемлют ароматный пар;
Довольно… благо мне не надо
Описывать волшебный дом:
Уже давно Шехеразада
Меня предупредила в том.
Но светлый терем не отрада,
Когда не видим друга в нем.Три девы, красоты чудесной,
В одежде легкой и прелестной
Княжне явились, подошли
И поклонились до земли.
Тогда неслышными шагами
Одна поближе подошла;
Княжне воздушными перстами
Златую косу заплела
С искусством, в наши дни не новым,
И обвила венцом перловым
Окружность бледного чела.
За нею, скромно взор склоняя,
Потом приближилась другая;
Лазурный, пышный сарафан
Одел Людмилы стройный стан;
Покрылись кудри золотые,
И грудь, и плечи молодые
Фатой, прозрачной, как туман.
Покров завистливый лобзает
Красы, достойные небес,
И обувь легкая сжимает
Две ножки, чудо из чудес.
Княжне последняя девица
Жемчужный пояс подает.
Меж тем незримая певица
Веселы песни ей поет.
Увы, ни камни ожерелья,
Ни сарафан, ни перлов ряд,
Ни песни лести и веселья
Ее души не веселят;
Напрасно зеркало рисует
Ее красы, ее наряд;
Потупя неподвижный взгляд,
Она молчит, она тоскует.Те, кои, правду возлюбя,
На темном сердца дне читали,
Конечно знают про себя,
Что если женщина в печали
Сквозь слез, украдкой, как-нибудь,
На зло привычке и рассудку,
Забудет в зеркало взглянуть —
То грустно ей уж не на шутку.Но вот Людмила вновь одна.
Не зная, что начать, она
К окну решетчату подходит,
И взор ее печально бродит
В пространстве пасмурной дали.
Всё мертво. Снежные равнины
Коврами яркими легли;
Стоят угрюмых гор вершины
В однообразной белизне
И дремлют в вечной тишине;
Кругом не видно дымной кровли,
Не видно путника в снегах,
И звонкий рог веселой ловли
В пустынных не трубит горах;
Лишь изредка с унылым свистом
Бунтует вихорь в поле чистом
И на краю седых небес
Качает обнаженный лес.В слезах отчаянья, Людмила
От ужаса лицо закрыла.
Увы, что ждет ее теперь!
Бежит в серебряную дверь;
Она с музыкой отворилась,
И наша дева очутилась
В саду. Пленительный предел:
Прекраснее садов Армиды
И тех, которыми владел
Царь Соломон иль князь Тавриды.
Пред нею зыблются, шумят
Великолепные дубровы;
Аллеи пальм и лес лавровый,
И благовонных миртов ряд,
И кедров гордые вершины,
И золотые апельсины
Зерцалом вод отражены;
Пригорки, рощи и долины
Весны огнем оживлены;
С прохладой вьется ветер майский
Средь очарованных полей,
И свищет соловей китайский
Во мраке трепетных ветвей;
Летят алмазные фонтаны
С веселым шумом к облакам;
Под ними блещут истуканы
И, мнится, живы; Фидий сам,
Питомец Феба и Паллады,
Любуясь ими, наконец,
Свой очарованный резец
Из рук бы выронил с досады.
Дробясь о мраморны преграды,
Жемчужной, огненной дугой
Валятся, плещут водопады;
И ручейки в тени лесной
Чуть вьются сонною волной.
Приют покоя и прохлады,
Сквозь вечну зелень здесь и там
Мелькают светлые беседки;
Повсюду роз живые ветки
Цветут и дышат по тропам.
Но безутешная Людмила
Идет, идет и не глядит;
Волшебства роскошь ей постыла,
Ей грустен неги светлый вид;
Куда, сама не зная, бродит,
Волшебный сад кругом обходит,
Свободу горьким дав слезам,
И взоры мрачные возводит
К неумолимым небесам.
Вдруг осветился взор прекрасный;
К устам она прижала перст;
Казалось, умысел ужасный
Рождался… Страшный путь отверст:
Высокий мостик над потоком
Пред ней висит на двух скалах;
В уныньи тяжком и глубоком
Она подходит — и в слезах
На воды шумные взглянула,
Ударила, рыдая, в грудь,
В волнах решилась утонуть,
Однако в воды не прыгнула
И дале продолжала путь.Моя прекрасная Людмила,
По солнцу бегая с утра,
Устала, слезы осушила,
В душе подумала: пора!
На травку села, оглянулась —
И вдруг над нею сень шатра,
